Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,USG%,_key,Salary_Millions,Expected_PER,Efficiency_Surplus,Surplus_Rank,PER_Rank,Salary_Rank,PVI,Salary_Tier,Value_Label,Player_display
12,Devin Booker,28,PHX,SG,75,75,37.3,8.7,18.9,0.461,2.4,7.3,0.332,6.3,11.6,0.542,0.525,5.8,6.4,0.894,1.0,3.1,4.1,7.1,0.9,0.2,2.9,2.6,25.6,19.3,29.3,devin booker,49.2058,21.008877318118643,-1.71,138,37,5,0.9876884432323019,Superstar (>=25M),Overpaid,Devin Booker
13,LaMelo Ball,23,CHO,PG,47,47,32.0,8.6,21.3,0.405,3.8,11.2,0.339,4.8,10.1,0.478,0.494,4.1,4.9,0.843,1.0,3.9,4.9,7.4,1.1,0.3,3.6,3.3,25.2,19.1,35.9,lamelo ball,35.147,18.56767844195963,0.53,75,41,28,1.5648561754915071,Superstar (>=25M),Fair Value,LaMelo Ball
14,Damian Lillard,34,MIL,PG,58,58,36.1,7.7,17.1,0.448,3.4,9.0,0.376,4.3,8.1,0.528,0.547,6.2,6.8,0.921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9,21.3,27.8,damian lillard,48.787676,20.935544602218464,0.36,82,20,9,1.0064016986584892,Superstar (>=25M),Fair Value,Damian Lillard
16,Kyrie Irving,32,DAL,SG,50,50,36.1,8.9,18.9,0.473,2.9,7.2,0.401,6.1,11.7,0.517,0.549,3.9,4.3,0.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7,19.9,27.4,kyrie irving,41.0,19.5778681629218,0.32,84,32,19,1.1536585365853658,Superstar (>=25M),Fair Value,Kyrie Irving
18,Stephen Curry,36,GSW,PG,70,70,32.2,8.1,18.0,0.448,4.4,11.2,0.397,3.6,6.8,0.534,0.572,4.0,4.3,0.933,0.6,3.9,4.4,6.0,1.1,0.4,2.9,1.4,24.5,21.5,29.8,stephen curry,55.761216,22.164441058673773,-0.66,109,17,1,0.9199942841992542,Superstar (>=25M),Fair Value,Stephen Curry
19,LeBron James,40,LAL,SF,70,70,34.9,9.3,18.1,0.513,2.1,5.7,0.376,7.2,12.5,0.574,0.571,3.7,4.7,0.782,1.0,6.8,7.8,8.2,1.0,0.6,3.7,1.4,24.4,22.7,30.1,lebron james,48.728845,20.925230107457715,1.77,51,9,11,1.0835471269635057,Superstar (>=25M),Undervalued,LeBron James
20,Karl-Anthony Towns,29,NYK,C,72,72,35.0,8.9,16.9,0.526,2.0,4.7,0.42,6.9,12.2,0.567,0.584,4.7,5.7,0.829,2.9,9.8,12.8,3.1,1.0,0.7,2.7,3.5,24.4,23.4,27.4,karl-anthony towns,49.2058,21.008877318118643,2.39,42,7,5,1.0323986196749162,Superstar (>=25M),Undervalued,Karl-Anthony Towns
21,Victor Wembanyama,21,SAS,C,46,46,33.2,8.9,18.6,0.476,3.1,8.8,0.352,5.8,9.9,0.586,0.559,3.4,4.1,0.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3,24.3,24.2,30.4,victor wembanyama,12.76896,14.786101599869893,9.41,6,5,91,4.275994286143899,Role Player (5-15M),STEAL,Victor Wembanyama
22,Franz Wagner,23,ORL,SF,60,60,33.7,9.0,19.4,0.463,1.7,5.9,0.295,7.2,13.5,0.535,0.507,4.5,5.2,0.871,0.9,4.8,5.7,4.7,1.3,0.4,2.3,2.5,24.2,20.1,31.0,franz wagner,7.007092,13.833144673565743,6.27,13,26,127,7.292611542705591,Role Player (5-15M),STEAL,Franz Wagner
23,Trae Young,26,ATL,PG,76,76,36.0,7.4,18.1,0.411,2.9,8.4,0.34,4.6,9.7,0.474,0.491,6.5,7.4,0.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,18.3,29.6,trae young,43.03194,19.93061508328181,-1.63,133,48,13,1.1131266682375929,Superstar (>=25M),Overpaid,Trae Young
24,Donovan Mitchell,28,CLE,SG,71,71,31.4,8.2,18.6,0.443,3.3,8.9,0.368,5.0,9.7,0.512,0.531,4.2,5.1,0.823,0.8,3.7,4.5,5.0,1.3,0.2,2.1,2.0,24.0,20.9,30.9,donovan mitchell,35.41031,18.612935961899268,2.29,44,22,27,1.4628507911961233,Superstar (>=25M),Undervalued,Donovan Mitchell
26,Tyler Herro,25,MIA,SG,77,77,35.4,8.5,17.9,0.472,3.3,8.7,0.375,5.2,9.2,0.565,0.563,3.7,4.2,0.878,0.5,4.7,5.2,5.5,0.9,0.2,2.6,1.1,23.9,19.7,28.0,tyler herro,29.0,17.516171981544474,2.18,46,34,43,1.6448275862068966,Superstar (>=25M),Undervalued,Tyler Herro
30,Ja Morant,25,MEM,PG,50,50,30.4,8.1,17.8,0.454,1.8,5.7,0.309,6.3,12.1,0.523,0.504,5.3,6.4,0.824,0.7,3.4,4.1,7.3,1.2,0.2,3.7,2.3,23.2,19.3,32.2,ja morant,36.72567,18.83928436813625,0.46,79,37,21,1.402288916716836,Superstar (>=25M),Fair Value,Ja Morant
